id,source_recipe_code,food_code_org,food_name,amount,unit
0004b9bd-4f40-40df-830e-f47773ba4103,ASC200,UK-11-1045,"Flour, corn",2,tsp
00076f04-7b84-420b-986a-fd3ae4019d96,BFP168,UK-17-640,"Ghee, butter",5,g
0013055a-7882-49d8-9c97-d3f587470453,BFP440,H013,Mustard seeds (Brassica nigra),0.25,tsp
001b4515-026c-4f9e-94e1-7ed7699cf158,ASC253,UK-50-1173,"Tomato sauce, homemade",0.5,tsp
001c57e1-61e6-4e77-b36d-e5888d1fdf12,BFP605,H013,Mustard seeds (Brassica nigra),10,g
00296a55-f0e4-4d7d-9373-475a7d2de2f7,BFP545,F006,"Potato, brown skin, big (Solanum tuberosum)",20,g
0029e11d-6521-4679-984a-273f54e23add,ASC101,G017,"Onion, big (Allium cepa)",25,g
0033c9a3-a8da-4d41-9bc5-667f1b9a300f,ASC149,UK-17-811,"Mint sauce, homemade",2,tbsp
0035f911-2f22-41eb-979b-3f7267320742,BFP350,M001,"Egg, poultry, whole, raw",50,g
0039148e-b036-423b-803d-ed03b2f0660b,ASC044,G014,"Ginger, fresh (Zingiber officinale)",6.33,g
003d0660-9d51-4da0-9085-8681a7484697,ASC230,G021,"Cardamom, black (Elettaria cardamomum)",0.25,tsp
003f9365-5bcc-48b9-a9fa-52e16021579e,OSR088,C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",150,g
0045f2a1-4acc-423d-8024-be166fb28031,OSR063,UK-17-377,"Water, distilled",3,tbsp
004a4aed-18e5-4d87-8b62-02b1f8b60e5d,OSR082,H013,Mustard seeds (Brassica nigra),1,tbsp
004d9dd8-acc4-47d2-8f6f-8a79c26c7ecc,OSR145,UK-17-045,"Oil, sunflower",3,tsp
0052e827-7668-4c31-8fb2-ffea22c34c5a,BFP004,G022,"Chillies, red (Capsicum annum)",5,g
00589465-c42f-4a03-9acb-358c577639ea,BFP431,UK-17-377,"Water, distilled",30,ml
006532eb-2022-49be-b3e9-eea1f81d05eb,BFP443,UK-17-377,"Water, distilled",2,tsp
006d80ca-0ca6-4f45-bd1d-4af3b4c7992d,BFP320,G031,"Pepper, black (Piper nigrum)",0.25,tsp
006ec2e5-4609-483e-b4b8-fa9bf1227e2b,ASC020,L002,"Milk, whole, Cow",1,C
0078357a-c8c5-4b24-ba4e-2c28563715bc,BFP142,G021,"Cardamom, black (Elettaria cardamomum)",0.25,tsp
00881713-5cea-404a-823d-14904eb2afb5,ASC241,ANN-ING-0005,Red colour,0.5,tsp
008ca94e-f74f-49b7-81cb-647e5a9b0fc2,ASC122,L002,"Milk, whole, Cow",1,tbsp
00906b55-2f42-403d-978b-494168221222,BFP548,B001,"Bengal gram, dal (Cicer arietinum)",15,g
0092d2f7-89f7-4de2-a0c6-bb8071222b3b,BFP226,UK-14-130,"Lemons, flesh only, raw, weighed with peel and pips",7.5,g
00a1bfb6-854d-404f-8086-7ae7d8cead42,ASC403,UK-13-874,"Cinnamon, ground",0.25,tsp
00a2cd1f-23c3-4f98-b1b3-adf72b8437d2,BFP066,UK-17-726,"Stock cubes, chicken",480,ml
00a46204-180c-48c2-a311-87ed2e577565,OSR034,UK-17-355,Baking powder,3,tsp
00a827ab-b9d3-43d4-8776-4e91ab55a9f4,BFP606,UK-12-527,"Cheese, processed, plain",30,g
00a84147-638c-4e0e-9e0f-4a4c644a96bf,OSR001,US-806241,HIMALAYAN BLACK SALT,1,tbsp
00ab43ac-3a17-4e51-9aec-8033da1c4a73,BFP467,UK-11-1145,"Bread, white, average",60,g
00ad5ebf-143c-444c-8220-2e1a70108cfc,BFP174,UK-17-367,Salt,0.5,tsp
00bd0331-4aec-4583-8d27-cf306677e302,BFP523,E047,"Orange, pulp (Citrus aurantium)",42.5,g
00c0a9a0-4ec7-4370-b18c-ff1f0ad3e4f5,OSR026,L002,"Milk, whole, Cow",15,ml
00c56600-672e-4489-a801-5b9ffaa83bb3,BFP446,UK-12-184,"Yogurt, whole milk, plain",2,tbsp
00c8c9d2-212f-4337-bac9-04b39300fd6b,ASC222,G009,Coriander leaves (Coriandrum sativum),1,sprig
00da0d5b-64cb-4387-88ff-207c34b6ee29,BFP446,H021,Walnut (Juglans regia),50,g
00db4ef4-da66-45b1-9d53-2a6f2858f0a8,BFP492,UK-17-355,Baking powder,0.5,tsp
00de8840-12ac-4e0a-b13f-0263696fcb58,ASC230,G008,"Chillies, green - all varieties (Capsicum annum)",0.8,tsp
00e183ce-e8b7-471f-89bd-ccc9269670dd,ASC119,UK-13-874,"Cinnamon, ground",0.5,tsp
00e47864-d6ff-4376-89d0-2b3a332cd028,OSR142,G025,Cumin seeds (Cuminum cyminum),1,tsp
00e64b2e-8a4e-4d88-a448-efd1fb6fcca1,ASC114,G021,"Cardamom, black (Elettaria cardamomum)",0.25,tsp
00e82beb-d6d7-4b32-897d-357db1ff6c44,BFP176,G025,Cumin seeds (Cuminum cyminum),0.125,tsp
00ec4c05-ef52-4795-ac34-293b97ea5fa1,BFP190,UK-12-184,"Yogurt, whole milk, plain",60,g
00f94ce1-0b8d-4421-9836-a0133957e518,BFP040,G022,"Chillies, red (Capsicum annum)",1.67,g
0108b3fe-0cef-49b3-b32b-414477c62d5e,OSR011,G020,"Cardamom, green (Elettaria cardamomum)",0.5,tsp
010d1200-3f5f-429f-b81e-e9a734e6f909,BFP431,G031,"Pepper, black (Piper nigrum)",0.25,tsp
010e1d31-5ee4-475f-ac14-189638552196,ASC104,US-400113,"SIVA'S, AMHUR POWDER (DRY MANGO POWDER)",0.5,tsp
01100921-4b19-42ce-8555-c6bcd0f46177,OSR103,G017,"Onion, big (Allium cepa)",120,g
01189576-3ba0-44c3-a322-1b8830f5a5c5,ASC210,G017,"Onion, big (Allium cepa)",25,g
011ea37f-a6a6-4739-abad-4cdda690a945,BFP483,UK-17-062,"Sugar, icing",50,g
01270218-3163-4030-bff9-232d67dee3bd,ASC414,UK-17-661,"Butter, unsalted",4,tsp
012c1abf-3bf7-4db3-a623-e5b6243190fb,ASC242,G017,"Onion, big (Allium cepa)",40,g
013168e6-377d-4d1d-b842-4de91e287646,ASC344,UK-17-377,"Water, distilled",2,tsp
0134e9b8-0e1b-4dbd-83f5-f78d7cbf1579,BFP289,UK-17-661,"Butter, unsalted",1,tsp
013e34d4-9eaf-4749-b212-f383ad26b3f1,ASC251,E033,"Lemon, juice (Citrus limon)",0.5,tsp
01448281-8b89-42e5-9838-cab96ebbce41,ASC244,G031,"Pepper, black (Piper nigrum)",0.25,tsp
0145ba35-dce3-4f9f-847b-7018e9830ece,ASC315,UK-12-333,"Cream, fresh, whipping",10,g
014f4022-04c2-4f29-82dd-57ecf45b4710,BFP216,UK-17-367,Salt,0.17,tsp
01520f75-8663-4905-b386-11bb33aa2369,OSR148,UK-17-377,"Water, distilled",0.3,C
015241c1-9b9f-4a73-b2d6-ac7d9095b5de,ASC414,L002,"Milk, whole, Cow",120,ml
015881b9-cb35-44ba-9890-53a4830a64b8,ASC005,G016,Mint leaves (Mentha spicata ),1,sprig
015a2144-c644-4c4c-a8f0-1fca34f8ed6d,ASC137,UK-11-1145,"Bread, white, average",30,g
015c0c63-5aae-43b2-8131-a5adb28f144e,BFP480,UK-17-377,"Water, distilled",1,tsp
015d1a16-0e94-498d-b9a4-aad98e41be5e,BFP164,UK-17-377,"Water, distilled",0.33,C
016546ec-96cb-47cb-85fa-2e58834f7b23,OSR147,UK-17-367,Salt,0.5,tsp
